
Codes	Titles	Total Marketable US Businesses
321114	Wood Preservation	675
3212	Veneer, Plywood, and Engineered Wood Product Manufacturing	1,696
321211	Hardwood Veneer and Plywood Manufacturing	304
321212	Softwood Veneer and Plywood Manufacturing	90
321213	Engineered Wood Member (except Truss) Manufacturing	69
321214	Truss Manufacturing	901
321219	Reconstituted Wood Product Manufacturing	332
3219	Other Wood Product Manufacturing	26,666
321911	Wood Window and Door Manufacturing	1,410
321912	Cut Stock, Resawing Lumber, and Planing	1,307
321918	Other Millwork (including Flooring)	14,045
321920	Wood Container and Pallet Manufacturing	3,299
321991	Manufactured Home (Mobile Home) Manufacturing	662
321992	Prefabricated Wood Building Manufacturing	1,179
321999	All Other Miscellaneous Wood Product Manufacturing	4,764
3221	Pulp, Paper, and Paperboard Mills	3,156
322110	Pulp Mills	385
322121	Paper (except Newsprint) Mills	1,933
322122	Newsprint Mills	31
322130	Paperboard Mills	807
3222	Converted Paper Product Manufacturing	6,419
322211	Corrugated and Solid Fiber Box Manufacturing	1,767
322212	Folding Paperboard Box Manufacturing	187
322219	Other Paperboard Container Manufacturing	710
322220	Paper Bag and Coated and Treated Paper Manufacturing	1,681
322230	Stationery Product Manufacturing	435
322291	Sanitary Paper Product Manufacturing	364
322299	All Other Converted Paper Product Manufacturing	1,275
3231	Printing and Related Support Activities	54,287
323111	Commercial Printing (except Screen and Books)	45,503
323113	Commercial Screen Printing	6,585
323117	Books Printing	411
323120	Support Activities for Printing	1,788
3241	Petroleum and Coal Products Manufacturing	4,538
324110	Petroleum Refineries	1,674
324121	Asphalt Paving Mixture and Block Manufacturing	1,432
324122	Asphalt Shingle and Coating Materials Manufacturing	555
324191	Petroleum Lubricating Oil and Grease Manufacturing	699
324199	All Other Petroleum and Coal Products Manufacturing	178
3251	Basic Chemical Manufacturing	8,156
325110	Petrochemical Manufacturing	1,627
325120	Industrial Gas Manufacturing	1,414
325130	Synthetic Dye and Pigment Manufacturing	307
325180	Other Basic Inorganic Chemical Manufacturing	2,515
325193	Ethyl Alcohol Manufacturing	211
325194	Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing	216
325199	All Other Basic Organic Chemical Manufacturing	1,866
3252	Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing	3,055
325211	Plastics Material and Resin Manufacturing	2,547
325212	Synthetic Rubber Manufacturing	264
325220	Artificial and Synthetic Fibers and Filaments Manufacturing	244
3253	Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing	2,216
325311	Nitrogenous Fertilizer Manufacturing	479
325312	Phosphatic Fertilizer Manufacturing	114
325314	Fertilizer (Mixing Only) Manufacturing	591
325320	Pesticide and Other Agricultural Chemical Manufacturing	1,032
3254	Pharmaceutical and Medicine Manufacturing	12,067
325411	Medicinal and Botanical Manufacturing	1,220
325412	Pharmaceutical Preparation Manufacturing	8,746
325413	In-Vitro Diagnostic Substance Manufacturing	186
325414	Biological Product (except Diagnostic) Manufacturing	1,915
3255	Paint, Coating, and Adhesive Manufacturing	3,554
325510	Paint and Coating Manufacturing	2,308
325520	Adhesive Manufacturing	1,246
3256	Soap, Cleaning Compound, and Toilet Preparation Manufacturing	7,592
325611	Soap and Other Detergent Manufacturing	1,257
325612	Polish and Other Sanitation Good Manufacturing	1,996
325613	Surface Active Agent Manufacturing	166
325620	Toilet Preparation Manufacturing	4,173
3259	Other Chemical Product and Preparation Manufacturing	4,759
325910	Printing Ink Manufacturing	646
325920	Explosives Manufacturing	251
325991	Custom Compounding of Purchased Resins	159
325992	Photographic Film, Paper, Plate, and Chemical Manufacturing	334
325998	All Other Miscellaneous Chemical Product and Preparation Manufacturing	3,369
3261	Plastics Product Manufacturing	14,579
326111	Plastics Bag and Pouch Manufacturing	385
326112	Plastics Packaging Film and Sheet (including Laminated) Manufacturing	183
326113	Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing	838
326121	Unlaminated Plastics Profile Shape Manufacturing	206
326122	Plastics Pipe and Pipe Fitting Manufacturing	394
326130	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing	402
326140	Polystyrene Foam Product Manufacturing	62
326150	Urethane and Other Foam Product (except Polystyrene) Manufacturing	1,269
326160	Plastics Bottle Manufacturing	288
326191	Plastics Plumbing Fixture Manufacturing	330
326199	All Other Plastics Product Manufacturing	10,222
3262	Rubber Product Manufacturing	3,153
326211	Tire Manufacturing (except Retreading)	506
326212	Tire Retreading	129
326220	Rubber and Plastics Hoses and Belting Manufacturing	374
326291	Rubber Product Manufacturing for Mechanical Use	258
326299	All Other Rubber Product Manufacturing	1,886
3271	Clay Product and Refractory Manufacturing	2,571
327110	Pottery, Ceramics, and Plumbing Fixture Manufacturing	1,429
327120	Clay Building Material and Refractories Manufacturing	1,142
3272	Glass and Glass Product Manufacturing	3,945
327211	Flat Glass Manufacturing	676
327212	Other Pressed and Blown Glass and Glassware Manufacturing	1,196
327213	Glass Container Manufacturing	279
327215	Glass Product Manufacturing Made of Purchased Glass	1,794
3273	Cement and Concrete Product Manufacturing	11,551
327310	Cement Manufacturing	536
327320	Ready-Mix Concrete Manufacturing	5,568
327331	Concrete Block and Brick Manufacturing	843
327332	Concrete Pipe Manufacturing	187
327390	Other Concrete Product Manufacturing	4,417
3274	Lime and Gypsum Product Manufacturing	1,284
327410	Lime Manufacturing	234
327420	Gypsum Product Manufacturing	1,050
3279	Other Nonmetallic Mineral Product Manufacturing	3,960
327910	Abrasive Product Manufacturing	606
327991	Cut Stone and Stone Product Manufacturing	2,222
327992	Ground or Treated Mineral and Earth Manufacturing	397
327993	Mineral Wool Manufacturing	294
327999	All Other Miscellaneous Nonmetallic Mineral Product Manufacturing	441
3311	Iron and Steel Mills and Ferroalloy Manufacturing	2,635
331110	Iron and Steel Mills and Ferroalloy Manufacturing	2,635
3312	Steel Product Manufacturing from Purchased Steel	1,723
331210	Iron and Steel Pipe and Tube Manufacturing from Purchased Steel	637
331221	Rolled Steel Shape Manufacturing	579
331222	Steel Wire Drawing	507
3313	Alumina and Aluminum Production and Processing	1,256
331313	Alumina Refining and Primary Aluminum Production	256
331314	Secondary Smelting and Alloying of Aluminum	71
331315	Aluminum Sheet, Plate, and Foil Manufacturing	259
331318	Other Aluminum Rolling, Drawing, and Extruding	670
3314	Nonferrous Metal (except Aluminum) Production and Processing	1,986
331410	Nonferrous Metal (except Aluminum) Smelting and Refining	533
331420	Copper Rolling, Drawing, Extruding, and Alloying	464
331491	Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding	691
331492	Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)	298
3315	Foundries	2,806
331511	Iron Foundries	513
331512	Steel Investment Foundries	252
331513	Steel Foundries (except Investment)	322
331523	Nonferrous Metal Die-Casting Foundries	450
331524	Aluminum Foundries (except Die-Casting)	477
331529	Other Nonferrous Metal Foundries (except Die-Casting)	792
3321	Forging and Stamping	4,221
332111	Iron and Steel Forging	1,072
332112	Nonferrous Forging	138
332114	Custom Roll Forming	35
332117	Powder Metallurgy Part Manufacturing	57
332119	Metal Crown, Closure, and Other Metal Stamping (except Automotive)	2,919
3322	Cutlery and Handtool Manufacturing	3,209
332215	Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing	1,324
332216	Saw Blade and Handtool Manufacturing	1,885
3323	Architectural and Structural Metals Manufacturing	22,054
332311	Prefabricated Metal Building and Component Manufacturing	1,837
332312	Fabricated Structural Metal Manufacturing	7,991
332313	Plate Work Manufacturing	2,039
332321	Metal Window and Door Manufacturing	1,997
332322	Sheet Metal Work Manufacturing	5,570
332323	Ornamental and Architectural Metal Work Manufacturing	2,620
3324	Boiler, Tank, and Shipping Container Manufacturing	1,432
332410	Power Boiler and Heat Exchanger Manufacturing	213
332420	Metal Tank (Heavy Gauge) Manufacturing	402
332431	Metal Can Manufacturing	464
332439	Other Metal Container Manufacturing	353
3325	Hardware Manufacturing	1,935
332510	Hardware Manufacturing	1,935
3326	Spring and Wire Product Manufacturing	2,232
332613	Spring Manufacturing	493
332618	Other Fabricated Wire Product Manufacturing	1,739
3327	Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	20,990
332710	Machine Shops	18,995
332721	Precision Turned Product Manufacturing	1,047
332722	Bolt, Nut, Screw, Rivet, and Washer Manufacturing	948
3328	Coating, Engraving, Heat Treating, and Allied Activities	8,302
332811	Metal Heat Treating	780
332812	Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers	4,399
332813	Electroplating, Plating, Polishing, Anodizing, and Coloring	3,123
3329	Other Fabricated Metal Product Manufacturing	9,549
332911	Industrial Valve Manufacturing	911
332912	Fluid Power Valve and Hose Fitting Manufacturing	446
332913	Plumbing Fixture Fitting and Trim Manufacturing	528
332919	Other Metal Valve and Pipe Fitting Manufacturing	702
332991	Ball and Roller Bearing Manufacturing	367
332992	Small Arms Ammunition Manufacturing	320
332993	Ammunition (except Small Arms) Manufacturing	128
332994	Small Arms, Ordnance, and Ordnance Accessories Manufacturing	1,236
332996	Fabricated Pipe and Pipe Fitting Manufacturing	894
332999	All Other Miscellaneous Fabricated Metal Product Manufacturing	4,017
3331	Agriculture, Construction, and Mining Machinery Manufacturing	9,755
333111	Farm Machinery and Equipment Manufacturing	2,996
333112	Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing	606
333120	Construction Machinery Manufacturing	3,877
333131	Mining Machinery and Equipment Manufacturing	591
333132	Oil and Gas Field Machinery and Equipment Manufacturing	1,685
3332	Industrial Machinery Manufacturing	6,872
333241	Food Product Machinery Manufacturing	1,375
333242	Semiconductor Machinery Manufacturing	267
333243	Sawmill, Woodworking, and Paper Machinery Manufacturing	1,181
333244	Printing Machinery and Equipment Manufacturing	692
333249	Other Industrial Machinery Manufacturing	3,357
3333	Commercial and Service Industry Machinery Manufacturing	7,549
333314	Optical Instrument and Lens Manufacturing	1,277
333316	Photographic and Photocopying Equipment Manufacturing	932
333318	Other Commercial and Service Industry Machinery Manufacturing	5,340
3334	Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing	4,722
333413	Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing	1,134
333414	Heating Equipment (except Warm Air Furnaces) Manufacturing	787
333415	Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing	2,801
3335	Metalworking Machinery Manufacturing	10,740
333511	Industrial Mold Manufacturing	1,224
333514	Special Die and Tool, Die Set, Jig, and Fixture Manufacturing	3,501
333515	Cutting Tool and Machine Tool Accessory Manufacturing	1,957
333517	Machine Tool Manufacturing	3,172
333519	Rolling Mill and Other Metalworking Machinery Manufacturing	886
3336	Engine, Turbine, and Power Transmission Equipment Manufacturing	2,363
333611	Turbine and Turbine Generator Set Units Manufacturing	689
333612	Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing	295
333613	Mechanical Power Transmission Equipment Manufacturing	494
333618	Other Engine Equipment Manufacturing	885
3339	Other General Purpose Machinery Manufacturing	14,739
333912	Air and Gas Compressor Manufacturing	693
333914	Measuring, Dispensing, and Other Pumping Equipment Manufacturing	1,540
333921	Elevator and Moving Stairway Manufacturing	357
333922	Conveyor and Conveying Equipment Manufacturing	1,125
333923	Overhead Traveling Crane, Hoist, and Monorail System Manufacturing	766
333924	Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing	1,750
333991	Power-Driven Handtool Manufacturing	402
333992	Welding and Soldering Equipment Manufacturing	496
333993	Packaging Machinery Manufacturing	888
333994	Industrial Process Furnace and Oven Manufacturing	588
333995	Fluid Power Cylinder and Actuator Manufacturing	193
333996	Fluid Power Pump and Motor Manufacturing	318
333997	Scale and Balance Manufacturing	272
333999	All Other Miscellaneous General Purpose Machinery Manufacturing	5,351
3341	Computer and Peripheral Equipment Manufacturing	5,395
334111	Electronic Computer Manufacturing	1,673
334112	Computer Storage Device Manufacturing	954
334118	Computer Terminal and Other Computer Peripheral Equipment Manufacturing	2,768
3342	Communications Equipment Manufacturing	5,820
334210	Telephone Apparatus Manufacturing	1,260
334220	Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing	3,257
334290	Other Communications Equipment Manufacturing	1,303
3343	Audio and Video Equipment Manufacturing	1,890
334310	Audio and Video Equipment Manufacturing	1,890
3344	Semiconductor and Other Electronic Component Manufacturing	9,930
334412	Bare Printed Circuit Board Manufacturing	272
334413	Semiconductor and Related Device Manufacturing	3,884
334416	Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing	740
334417	Electronic Connector Manufacturing	473
334418	Printed Circuit Assembly (Electronic Assembly) Manufacturing	1,271
334419	Other Electronic Component Manufacturing	3,290
3345	Navigational, Measuring, Electromedical, and Control Instruments Manufacturing	17,768
334510	Electromedical and Electrotherapeutic Apparatus Manufacturing	2,624
334511	Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing	3,816
334512	Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use	1,213
334513	Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables	2,473
334514	Totalizing Fluid Meter and Counting Device Manufacturing	357
334515	Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals	1,902
334516	Analytical Laboratory Instrument Manufacturing	1,994
334517	Irradiation Apparatus Manufacturing	282
334519	Other Measuring and Controlling Device Manufacturing	3,107
